,transactionid,accountid,transactionamount,transactiondate,transactiontype,location,deviceid,ip_address,merchantid,channel,customerage,customeroccupation,transactionduration,loginattempts,accountbalance,previoustransactiondate,transaction_hour,transaction_day,is_senior_citizen,amount_category
18,TX001799,AC00164,683.75,2023-02-20 18:56:00,Debit,Las Vegas,D000312,190.92.63.219,M073,Branch,32,Doctor,106,1,6333.72,2024-11-04 08:07:00,18,Monday,0,High
19,TX000888,AC00265,103.08,2023-02-27 16:48:00,Credit,Milwaukee,D000304,66.255.7.16,M096,Branch,49,Engineer,150,1,9251.38,2024-11-04 08:06:00,16,Monday,0,Low
20,TX000331,AC00087,182.19,2023-06-19 16:36:00, Debit ,Mesa,,157.130.28.27,M007,Branch,26,Student,53,1,1176.1,2024-11-04 08:06:00,16,Monday,0,Medium
21,TX002210,AC00404,127.78,2023-04-25 16:41:00,Debit,Miami,D000586,112.196.12.19,M050,ATM,20,Student,170,1,1046.66,2024-11-04 08:10:00,16,Tuesday,0,Medium
22,TX000843,AC00444,226.66,2023-12-27 18:55:00,Debit, Austin ,D000644,16.94.155.46,M001,Branch,41,Doctor,168,1,10216.25,2024-11-04 08:07:00,18,Wednesday,0,Medium
23,TX002479,AC00276,336.84,2023-03-07 17:24:00,Debit,Washington,D000559,161.195.172.148,M073,ATM,22,Student,100,1,4500.26,2024-11-04 08:09:00,17,Tuesday,0,High
24,TX001625,AC00324,410.49,2023-07-25 16:47:00,Credit, ##### ,D000364,70.130.169.235,M071,Branch,25,Student,134,1,1843.57,2024-11-04 08:10:00,16,Tuesday,0,High
25,TX001245,AC00202,642.68,2023-05-25 16:45:00,Debit,Jacksonville,D000643,141.241.241.128,M060,ATM,76, Retired ,66,1,1831.2,2024-11-04 08:10:00,16,Thursday,1,High
26,TX000138,AC00272,336.39,2023-01-16 16:53:00, Debit ,San Antonio,D000426,203.99.96.114,M003,Branch,21, Student ,18,1,1000.46,2024-11-04 08:09:00,16,Monday,0,High
27,TX000515,AC00127,539.81,2023-02-21 16:14:00,Debit, San Francisco ,D000632,51.196.87.214,M064,Online,46,Engineer,177,1,2051.25,2024-11-04 08:09:00,16,Tuesday,0,High
28,TX000411,AC00029,390.35,2023-09-26 18:36:00, Credit ,Omaha,D000274,101.223.82.253,M019,ATM,64,Doctor,61,1,7095.88,2024-11-04 08:10:00,18,Tuesday,1,High
29,TX002346,AC00396,,2023-01-10 16:41:00, Debit ,Los Angeles,,40.198.240.246,M055,Branch,22, Student ,69,1,664.93,2024-11-04 08:10:00,16,Tuesday,0,
30,TX002254,AC00236,0.32,2023-08-04 17:44:00, Debit , Boston ,D000129,173.135.78.201,M033,ATM,39,Engineer,136,1,7158.58,2024-11-04 08:09:00,17,Friday,0,Low
31,TX000789,AC00196,260.63,2023-12-20 18:58:00, Debit ,Fort Worth,D000564,36.13.239.172,M005,Branch,37, Engineer ,142,1,7534.73,2024-11-04 08:08:00,18,Wednesday,0,Medium
32,TX001422,AC00144,335.48,2023-03-02 16:06:00,Debit, Oklahoma City ,D000211,107.247.202.71,M040,Branch,45, Engineer ,155,1,"$3,023.16",2024-11-04 08:06:00,16,Thursday,0,High
33,TX000023,AC00095,52.2,2023-06-06 18:54:00,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39, Engineer ,120,1,8974.93,2024-11-04 08:07:00,18,Tuesday,0,Low
34,TX001487,AC00338,256.66,2023-07-17 17:08:00,Credit,,D000377,101.223.82.253,M045,Online,54, Retired ,137,1,1794.5,2024-11-04 08:06:00,17,Monday,0,Medium
35,TX001877,AC00169,136.48,2023-08-14 16:46:00,Debit,Charlotte,D000119,100.137.90.188,M079,Online,52,Engineer,138,4,4618.53,2024-11-04 08:09:00,16,Monday,0,Medium
36,TX000977,AC00007,466.64,2023-09-04 16:57:00, Debit , Las Vegas ,D000327,131.41.45.13,M082,ATM,58, Doctor ,11,1,10915.11,2024-11-04 08:09:00,16,Monday,0,High
37,TX000121,AC00295,53.57,2023-08-16 16:17:00,Debit,Houston,D000489,45.64.74.86,M025,ATM,69,Retired,121,1,1651.33,2024-11-04 08:08:00,16,Wednesday,1,Low
38,TX000040,AC00405,335.63,2023-01-24 17:17:00, Debit , Oklahoma City ,D000038,49.20.211.229,M040,Online,55,Retired,216,1,"$1,019.39",2024-11-04 08:07:00,17,Tuesday,0,High
39,TX000809,AC00422,80.24,2023-05-19 17:28:00,Credit,New York,D000604,190.92.63.219,M016,Branch,53,Doctor,58,1,8012.81,2024-11-04 08:12:00,17,Friday,0,Low
40,TX000180,AC00010,34.17,2023-11-21 16:57:00, Credit , Philadelphia ,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,2024-11-04 08:06:00,16,Tuesday,0,Low
41,TX001756,AC00405,247.93,2023-08-14 18:08:00,Debit,Indianapolis,D000082,3.102.127.165,M100,Branch,37,Engineer,79,1,9801.48,2024-11-04 08:09:00,18,Monday,0,Medium
42,TX002252,AC00359,20.06,2023-04-19 16:41:00,Debit,Memphis,D000184,206.168.209.111,M017,ATM,27,Student,144,1,445.21,2024-11-04 08:10:00,16,Wednesday,0,Low
44,TX000195,AC00005,488.54,2023-07-03 17:47:00,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2024-11-04 08:07:00,17,Monday,0,High
45,TX002365,AC00362,717.74,2023-12-08 16:51:00,Credit, ##### ,D000030,161.168.126.136,M020,Online,42,Engineer,168,1,8375.16,2024-11-04 08:10:00,16,Friday,0,High
46,TX002351,AC00076,61.66,2023-02-10 16:34:00,Debit, Sacramento ,D000125,112.222.0.29,M085,ATM,26,Student,86,1,5705.4,2024-11-04 08:06:00,16,Friday,0,Low
47,TX000077,AC00007,,2023-06-12 17:53:00, Debit ,Kansas City,,60.153.124.80,M060,Online,22, Student ,113,1,634.17,2024-11-04 08:08:00,17,Monday,0,
48,TX002168,AC00446,79.77,2023-01-23 16:50:00,Debit,,D000390,51.250.46.149,M066,ATM,68,Retired,167,1,5010.31,2024-11-04 08:08:00,16,Monday,1,Low
49,TX002165,AC00064,182.42,2023-03-22 16:59:00,Debit,Kansas City,D000515,3.77.114.6,M080,Branch,51,Retired,137,1,3051.29,2024-11-04 08:10:00,16,Wednesday,0,Medium
50,TX000818,AC00129,586.85,2023-08-15 16:57:00, Debit ,Mesa,D000515,187.199.178.27,M014,ATM,36, Doctor ,86,1,"$6,655.15",2024-11-04 08:12:00,16,Tuesday,0,High
51,TX002231,AC00040,,2023-01-05 16:22:00, Debit , Omaha ,D000315,149.46.124.220,M060,ATM,67,Doctor,116,1,9598.43,2024-11-04 08:09:00,16,Thursday,1,
52,TX000605,AC00398,175.07,2023-09-04 17:46:00,Debit, Colorado Springs ,D000379,147.125.143.41,M091,Branch,26,Student,169,1,1040.25,2024-11-04 08:08:00,17,Monday,0,Medium
53,TX000329,AC00264,354.4,2023-11-06 17:23:00, Debit , Chicago ,D000416,87.234.36.48,M046,ATM,74,Retired,128,1,7358.65,2024-11-04 08:10:00,17,Monday,1,High
54,TX000234,AC00345,91.48,2023-01-23 16:50:00, Debit ,Fort Worth,D000295,160.74.183.38,M081,ATM,51, Doctor ,141,1,14942.78,2024-11-04 08:09:00,16,Monday,0,Low
55,TX001635,AC00358,1762.28,2023-10-06 16:05:00,Debit,Memphis,D000008,26.105.49.129,M066,ATM,24,Student,150,1,1380.34,2024-11-04 08:10:00,16,Friday,0,High
56,TX002315,AC00005,162.59,2023-02-22 16:18:00,Debit, Indianapolis ,D000401,201.95.180.152,M098,Branch,64,Retired,19,1,7104.83,2024-11-04 08:08:00,16,Wednesday,1,Medium
57,TX001101,AC00271,346.76,2023-12-29 16:32:00,Credit,,D000299,39.129.125.110,M055,Branch,21,Student,116,1,1637.75,2024-11-04 08:09:00,16,Friday,0,High
58,TX002349,AC00326,432.18,2023-05-19 16:31:00,Debit, Las Vegas ,D000023,76.136.92.235,M008,Branch,18,Student,162,1,678.83,2024-11-04 08:08:00,16,Friday,0,High
59,TX000495,AC00498,659.95,2023-09-20 16:59:00, Debit ,Detroit,D000665,94.227.164.192,M044,Online,60,Engineer,114,1,3927.69,2024-11-04 08:06:00,16,Wednesday,1,High
60,TX001318,AC00403,27.28,2023-12-25 16:30:00,Debit,Atlanta,D000082,193.108.17.115,M070,ATM,29, Doctor ,96,1,10668.24,2024-11-04 08:09:00,16,Monday,0,Low
61,TX002503,AC00069,603.54,2023-04-21 16:22:00,Debit,Albuquerque,,112.86.148.212,M029,Online,44,Doctor,26,1,10517.47,2024-11-04 08:08:00,16,Friday,0,High
62,TX002450,AC00494,291.22,2023-11-03 16:45:00, Credit ,Baltimore,D000555,174.61.77.54,M095,Online,41,Engineer,100,1,3677.63,2024-11-04 08:09:00,16,Friday,0,Medium
64,TX002225,AC00143,281.47,2023-08-18 17:02:00, Debit ,Philadelphia,D000469,100.198.165.4,M029,ATM,34,Engineer,142,1,4437.48,2024-11-04 08:11:00,17,Friday,0,Medium
65,TX000897,AC00404,79.76,2023-04-03 16:25:00,Debit,Kansas City,,221.169.49.152,M043,Online,68,Doctor,115,1,10278.75,2024-11-04 08:08:00,16,Monday,1,Low
66,TX001014,AC00414,,2023-04-17 16:10:00,Debit,Louisville,D000124,189.183.50.147,M086,Branch,26, Student ,55,1,1778.75,2024-11-04 08:09:00,16,Monday,0,
67,TX001657,AC00185,172.68,2023-02-20 16:07:00,Debit,Baltimore,D000371,81.67.222.238,M031,ATM,33,Doctor,17,1,10724.95,2024-11-04 08:07:00,16,Monday,0,Medium
68,TX002350,AC00500,134.55,2023-10-09 16:44:00, Debit ,San Jose,D000219,100.137.90.188,M026,Online,59,Doctor,165,1,"$14,852.42",2024-11-04 08:08:00,16,Monday,0,Medium
69,TX000296,AC00272,20.54,2023-08-21 18:09:00,Debit,Fort Worth,D000348,171.101.134.74,M055,Branch,51,Engineer,72,1,5327.03,2024-11-04 08:07:00,18,Monday,0,Low
70,TX001988,AC00225,,2023-09-04 16:46:00,Credit, Los Angeles ,D000211,218.238.171.184,M046,Online,41, Engineer ,137,1,4113.63,2024-11-04 08:07:00,16,Monday,0,
71,TX000344,AC00232,703.89,2023-09-22 16:42:00, Debit ,,D000473,48.19.99.211,M074,Online,46, Engineer ,62,1,3583.67,2024-11-04 08:06:00,16,Friday,0,High
72,TX000955,AC00395,391.66,2023-07-10 17:29:00, Debit ,,D000271,119.163.214.161,M062,Branch,50,Engineer,103,1,2406.31,2024-11-04 08:06:00,17,Monday,0,High
73,TX001431,AC00059,344.97,2023-03-20 17:30:00,Debit, Austin ,D000264,214.67.148.245,M050,Online,34,Doctor,106,1,5577.94,2024-11-04 08:09:00,17,Monday,0,High
74,TX001506,AC00249,160.52,2023-08-07 16:15:00,Credit, Jacksonville ,D000254,98.255.160.110,M034,ATM,78,Retired,112,1,5379.25,2024-11-04 08:07:00,16,Monday,1,Medium
75,TX000778,AC00358,88.4,2023-11-10 18:02:00,Debit,Fort Worth,D000112,112.196.12.19,M065,Online,46,Engineer,174,1,2567.53,2024-11-04 08:09:00,18,Friday,0,Low
76,TX001044,AC00463,7.76,2023-03-27 17:16:00,Credit, Las Vegas ,D000376,170.99.15.217,M091,Online,52,Retired,84,1,7393.11,2024-11-04 08:12:00,17,Monday,0,Low
77,TX001384,AC00261,508.73,2023-07-14 16:22:00, Debit ,Chicago,D000316,172.184.35.29,M071,Branch,59,Retired,89,1,7640.57,2024-11-04 08:09:00,16,Friday,0,High
78,TX002023,AC00011,537.86,2023-09-19 16:44:00,Debit,Kansas City,,144.228.168.6,M001,Online,27,Student,134,1,$293.06,2024-11-04 08:09:00,16,Tuesday,0,High
79,TX000582,AC00205,84.59,2023-04-19 16:54:00, Credit ,Las Vegas,D000560,152.140.239.181,M004,Branch,67,Doctor,10,1,5669.1,2024-11-04 08:07:00,16,Wednesday,1,Low
80,TX000305,AC00306,361.46,2023-04-07 17:23:00,Debit, ##### ,D000169,171.150.178.172,M093,Online,21,Student,83,1,4737.84,2024-11-04 08:10:00,17,Friday,0,High
81,TX001705,AC00155,148.77,2023-03-30 18:20:00,Debit,,D000179,140.94.123.72,M083,Branch,67, Retired ,175,1,2138.42,2024-11-04 08:11:00,18,Thursday,1,Medium
82,TX001280,AC00373,,2023-01-06 17:52:00,Debit,Phoenix,D000640,60.166.231.236,M098,Branch,43,Doctor,75,1,13784.4,2024-11-04 08:06:00,17,Friday,0,
83,TX000268,AC00424,535.91,2023-07-07 16:38:00,Debit,Las Vegas,D000583,104.80.232.55,M097,Online,43,Engineer,22,1,"$9,642.12",2024-11-04 08:10:00,16,Friday,0,High
84,TX001389,AC00412,407.65,2023-08-07 17:17:00,Debit,Denver,D000013,8.136.178.116,M095,ATM,25,Student,263,1,$273.78,2024-11-04 08:08:00,17,Monday,0,High
85,TX001054,AC00052,11.46,2023-10-09 16:50:00,Debit, Chicago ,D000232,217.82.46.37,M056,Online,67,Retired,73,1,6628.75,2024-11-04 08:07:00,16,Monday,1,Low
86,TX001654,AC00166,81.15,2023-02-17 16:28:00,Debit,Miami,D000311,156.173.170.140,M059,ATM,19, Student ,114,1,1595.26,2024-11-04 08:09:00,16,Friday,0,Low
87,TX000727,AC00043,729.38,2023-11-14 17:23:00,Debit, Los Angeles ,D000443,99.205.173.118,M093,ATM,68, Doctor ,90,1,9127.65,2024-11-04 08:08:00,17,Tuesday,1,High
88,TX000324,AC00248,138.12,2023-04-11 17:18:00,Credit,Los Angeles,D000182,45.182.28.148,M067,Branch,53,Doctor,281,1,1649.69,2024-11-04 08:11:00,17,Tuesday,0,Medium
89,TX000027,AC00441,246.93,2023-04-17 16:37:00,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,2024-11-04 08:11:00,16,Monday,0,Medium
90,TX001541,AC00153,89.5,2023-08-21 16:22:00, Credit ,Louisville,D000014,166.79.195.157,M020,Branch,41,Engineer,134,1,8658.95,2024-11-04 08:09:00,16,Monday,0,Low
91,TX001680,AC00247,67.25,2023-07-03 16:38:00,Debit,Miami,D000413,42.3.3.101,M013,Online,19,Student,157,1,467.4,2024-11-04 08:11:00,16,Monday,0,Low
92,TX000191,AC00396,1422.55,2023-07-10 17:49:00, Debit , Washington ,D000569,188.124.181.12,M072,Branch,79,Retired,165,1,5674.32,2024-11-04 08:06:00,17,Monday,1,High
93,TX002413,AC00155,91.5,2023-03-27 16:26:00,Debit,Omaha,D000113,168.128.200.203,M033,ATM,47,Doctor,77,1,667.66,2024-11-04 08:07:00,16,Monday,0,Low
94,TX002357,AC00130,423.96,2023-01-30 18:50:00,Debit, San Diego ,D000042,138.181.222.38,M086,ATM,43, Doctor ,75,1,8374.38,2024-11-04 08:08:00,18,Monday,0,High
95,TX002264,AC00431,222.66,2023-06-28 16:05:00,Debit,Detroit,D000106,35.67.21.23,M038,Online,39, Doctor ,88,1,14466.38,2024-11-04 08:10:00,16,Wednesday,0,Medium
96,TX000632,AC00223,810.36,2023-01-17 16:59:00,Debit,Columbus,D000393,139.23.212.102,M081,ATM,20,Student,67,1,9239.12,2024-11-04 08:07:00,16,Tuesday,0,High
97,TX000746,AC00110,319.17,2023-01-11 16:58:00,Debit, Tucson ,D000444,7.28.148.225,M088,Online,73, Retired ,81,1,"$6,501.56",2024-11-04 08:08:00,16,Wednesday,1,Medium
98,TX000185,AC00440,201.69,2023-01-03 16:46:00,Debit, Las Vegas ,,193.108.17.115,M019,ATM,59, Doctor ,299,1,"$7,328.52",2024-11-04 08:10:00,16,Tuesday,0,Medium
99,TX000018,AC00359,492.93,2023-12-14 18:32:00, Debit ,,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:00,18,Thursday,0,High
100,TX001504,AC00400,64.58,2023-12-04 18:06:00,Debit,El Paso,D000647,21.190.11.223,M056,Branch,55, Retired ,173,1,6292.29,2024-11-04 08:11:00,18,Monday,0,Low
101,TX001850,AC00201,14.26,2023-11-27 17:04:00,Debit,,D000122,62.152.134.92,M094,Branch,50,Engineer,37,1,2475.65,2024-11-04 08:09:00,17,Monday,0,Low
102,TX000658,AC00071,443.68,2023-04-25 18:58:00,Debit,Tucson,D000400,16.94.155.46,M012,ATM,18, Student ,137,1,874.15,2024-11-04 08:10:00,18,Tuesday,0,High
103,TX002486,AC00051,193.38,2023-07-20 16:05:00,Debit,Memphis,D000188,91.204.200.167,M069,ATM,18, Student ,285,1,1081.79,2024-11-04 08:10:00,16,Thursday,0,Medium
104,TX001614,AC00165,103.08,2023-11-14 16:09:00,Debit,San Francisco,D000687,147.114.91.132,M009,Online,60, Doctor ,109,1,12002.16,2024-11-04 08:10:00,16,Tuesday,1,Low
105,TX001958,AC00301,845.14,2023-01-09 16:21:00,Credit, Oklahoma City ,D000154,8.244.162.185,M026,Branch,73,Retired,183,1,1702.65,2024-11-04 08:11:00,16,Monday,1,High
106,TX001120,AC00423,61.77,2023-09-28 17:06:00, Debit ,Charlotte,D000327,55.154.161.250,M082,Branch,56,Doctor,49,1,12352.2,2024-11-04 08:11:00,17,Thursday,0,Low
108,TX000193,AC00265,444.89,2023-09-11 16:27:00,Credit,Las Vegas,D000173,42.61.10.112,M060,Branch,43,Doctor,101,1,10328.23,2024-11-04 08:11:00,16,Monday,0,High
109,TX001673,AC00344,1353.93,2023-11-15 17:32:00,Debit,El Paso,D000681,80.75.92.66,M073,Branch,26,Engineer,171,1,7858.41,2024-11-04 08:08:00,17,Wednesday,0,High
110,TX001579,AC00007,137.48,2023-11-27 17:34:00, Debit ,,,66.255.7.16,M058,Branch,55, Doctor ,47,1,14273.42,2024-11-04 08:08:00,17,Monday,0,Medium
111,TX001178,AC00211,224.73,2023-02-09 16:27:00,Debit,Miami,D000005,3.102.127.165,M002,Branch,76,Retired,63,1,"$7,551.89",2024-11-04 08:08:00,16,Thursday,1,Medium
112,TX001879,AC00047,750.95,2023-09-08 18:16:00,Debit,Chicago,D000551,136.105.231.135,M100,Branch,78, Retired ,27,1,5134.37,2024-11-04 08:11:00,18,Friday,1,High
113,TX001755,AC00111,270.54,2023-04-03 18:22:00, Credit , Sacramento ,D000479,26.113.209.69,M077,ATM,20,Student,139,1,269.78,2024-11-04 08:09:00,18,Monday,0,Medium
114,TX000854,AC00321,59.51,2023-04-04 16:12:00, Credit , Dallas ,D000263,86.220.59.252,M086,Online,36,Doctor,55,1,9955.88,2024-11-04 08:12:00,16,Tuesday,0,Low
115,TX000453,AC00271,54.05,2023-04-25 16:53:00, Debit ,Louisville,D000373,167.104.180.235,M008,Branch,27, Student ,146,1,$469.14,2024-11-04 08:11:00,16,Tuesday,0,Low
116,TX000563,AC00216,106.39,2023-02-13 18:42:00,Debit, Virginia Beach ,D000485,211.42.9.0,M003,Online,37, Doctor ,281,1,9410.99,2024-11-04 08:10:00,18,Monday,0,Low
117,TX001325,AC00482,686.17,2023-10-03 17:27:00,Debit,Denver,D000103,199.199.60.222,M030,ATM,61,Retired,96,1,2246.15,2024-11-04 08:07:00,17,Tuesday,1,High
118,TX002333,AC00297,414.64,2023-04-03 16:27:00, Debit ,,D000698,158.129.49.240,M060,Branch,32,Doctor,74,1,7253.22,2024-11-04 08:09:00,16,Monday,0,High
119,TX000583,AC00475,295.64,2023-12-14 17:31:00,Debit,Jacksonville,D000225,170.225.23.251,M021,Online,21,Student,82,1,1061.96,2024-11-04 08:10:00,17,Thursday,0,Medium
120,TX001733,AC00423,252.93,2023-02-06 16:05:00, Debit , Portland ,D000616,130.29.230.16,M001,ATM,75, Retired ,222,1,2760.37,2024-11-04 08:07:00,16,Monday,1,Medium
121,TX001982,AC00256,584.88,2023-12-19 17:19:00, Debit ,Philadelphia,,91.204.200.167,M042,ATM,26,Student,121,1,548.45,2024-11-04 08:11:00,17,Tuesday,0,High
122,TX002214,AC00024,423.53,2023-08-10 17:08:00, Credit ,Kansas City,D000239,32.71.250.58,M025,Branch,50,Doctor,81,1,5453.4,2024-11-04 08:07:00,17,Thursday,0,High
123,TX001709,AC00185,206.51,2023-12-18 17:09:00,Debit,Indianapolis,D000354,101.90.40.193,M046,ATM,51, Retired ,275,1,"$3,921.74",2024-11-04 08:07:00,17,Monday,0,Medium
124,TX000806,AC00202,132.36,2023-03-13 17:01:00,Debit,Colorado Springs,,41.0.10.107,M094,Branch,28,Student,160,1,$319.65,2024-11-04 08:10:00,17,Monday,0,Medium
125,TX000243,AC00202,173.5,2023-10-23 17:16:00, Debit , Nashville ,,32.13.122.242,M052,ATM,21,Student,282,1,1306.91,2024-11-04 08:11:00,17,Monday,0,Medium
126,TX000226,AC00314,486.59,2023-12-19 16:55:00,Debit,Indianapolis,D000029,129.102.184.189,M017,Branch,57, Retired ,119,1,2513.56,2024-11-04 08:10:00,16,Tuesday,0,High
127,TX000631,AC00393,339.35,2023-02-03 16:08:00,Credit,Boston,D000099,197.23.128.119,M084,ATM,78,Retired,70,1,5002.7,2024-11-04 08:08:00,16,Friday,1,High
129,TX001511,AC00438,135.35,2023-07-28 18:42:00, Debit , Houston ,D000219,218.54.207.160,M098,Branch,33, Engineer ,82,1,9983.36,2024-11-04 08:07:00,18,Friday,0,Medium
130,TX000354,AC00340,432.63,2023-06-30 17:10:00,Debit,Colorado Springs,D000469,116.237.223.50,M024,ATM,29,Doctor,137,1,13648.36,2024-11-04 08:10:00,17,Friday,0,High
131,TX000847,AC00173,224.19,2023-09-21 16:42:00,Debit, Houston ,D000266,46.150.175.171,M017,ATM,52, Doctor ,93,1,8475.47,2024-11-04 08:07:00,16,Thursday,0,Medium
132,TX000528,AC00364,143.54,2023-10-16 16:06:00, Debit , Philadelphia ,D000432,83.207.115.164,M096,ATM,71, Retired ,80,1,6067.62,2024-11-04 08:08:00,16,Monday,1,Medium
133,TX000137,AC00284,486.08,2023-06-20 17:21:00,Debit,,D000170,138.87.180.254,M060,Online,18,Student,68,1,1748.69,2024-11-04 08:07:00,17,Tuesday,0,High
134,TX002383,AC00119,,2023-09-11 17:15:00,Debit,Columbus,D000191,89.6.100.149,M075,ATM,19,Student,27,1,151.28,2024-11-04 08:09:00,17,Monday,0,
135,TX000739,AC00288,283.23,2023-02-06 16:48:00,Debit,El Paso,D000695,146.69.70.214,M061,Online,40,Engineer,98,1,2008.77,2024-11-04 08:07:00,16,Monday,0,Medium
136,TX001204,AC00490,48.05,2023-05-18 17:34:00, Debit , New York ,D000668,125.225.212.244,M060,Branch,27, Engineer ,38,1,5334.97,2024-11-04 08:09:00,17,Thursday,0,Low
137,TX000377,AC00131,208.07,2023-07-10 16:51:00,Debit,Oklahoma City,D000084,157.164.245.130,M100,Online,32,Doctor,36,1,8478.9,2024-11-04 08:11:00,16,Monday,0,Medium
138,TX001580,AC00028,,2023-06-27 16:52:00,Debit,Columbus,D000022,80.58.55.129,M006,ATM,22, Student ,56,1,1863.7,2024-11-04 08:09:00,16,Tuesday,0,
139,TX001278,AC00266,53.14,2023-04-21 17:19:00, Debit ,Las Vegas,D000431,115.96.94.156,M062,ATM,34, Doctor ,70,1,"$7,915.00",2024-11-04 08:07:00,17,Friday,0,Low
141,TX000221,AC00391,131.56,2023-10-19 16:42:00,Debit,Charlotte,D000203,27.215.118.94,M014,Branch,44,Doctor,42,1,5873.54,2024-11-04 08:07:00,16,Thursday,0,Medium
142,TX000884,AC00448,183.32,2023-05-10 16:27:00, Debit , ##### ,D000450,162.207.77.170,M041,ATM,21,Student,74,1,137.42,2024-11-04 08:09:00,16,Wednesday,0,Medium
143,TX000600,AC00211,435.5,2023-05-15 18:41:00, Debit ,Oklahoma City,D000461,10.191.172.154,M008,ATM,55,Retired,112,1,6981.03,2024-11-04 08:09:00,18,Monday,0,High
144,TX001842,AC00136,684.96,2023-01-09 16:19:00,Debit,Mesa,D000445,165.114.224.47,M070,ATM,21,Student,31,1,526.67,2024-11-04 08:07:00,16,Monday,0,High
145,TX000752,AC00045,248.95,2023-06-16 16:19:00,Credit,San Francisco,D000454,38.210.156.148,M068,Branch,65,Retired,29,1,3059.79,2024-11-04 08:09:00,16,Friday,1,Medium
